Amount,Frequency,Recency
0.45813767825609525,0.0,0.871313672922252
0.025582810250931162,0.8116591928251121,0.002680965147453083
0.0106678538040333,0.13452914798206275,0.19839142091152814
0.010432266393625073,0.32286995515695066,0.0482573726541555
0.001984893677009601,0.07174887892376682,0.8284182305630027
0.014875068631379008,0.37668161434977576,0.09383378016085792
0.0005282761281514787,0.013452914798206279,0.5442359249329759
0.0064069803677158,0.25560538116591924,0.6193029490616622
0.0027268545311549364,0.053811659192825115,0.5710455764075067
0.01668776803335856,0.2600896860986547,0.058981233243967826
0.036846785083618994,0.5829596412556054,0.08579088471849866
0.0069332383623440024,0.08071748878923767,0.002680965147453083
0.01580115449108905,0.5739910313901345,0.13672922252010725
0.0011271869296175935,0.04035874439461883,0.7667560321715818
0.003276499131905801,0.09865470852017937,0.2922252010723861
0.007794150380625918,0.37668161434977576,0.01876675603217158
0.0038070308210538814,0.09417040358744394,0.7774798927613941
0.001002537506121177,0.04484304932735426,0.00804289544235925
0.021046105447476593,0.7443946188340806,0.13404825737265416
0.011206339313537818,0.2780269058295964,0.11796246648793565
0.007704758936918488,0.22869955156950672,0.19034852546916892
0.0021641514193711142,0.05829596412556054,0.8310991957104558
0.004409799818961552,0.14349775784753363,0.064343163538874
0.002715576726171927,0.07174887892376682,0.02680965147453083
0.009664010446808827,0.34080717488789236,0.8418230563002681
0.023793912953152592,0.9775784753363228,0.34584450402144773
0.005058629746694565,0.1748878923766816,0.21715817694369974
0.016173618839870008,0.4618834080717489,0.05630026809651475
0.01095318227010343,0.38565022421524664,0.010723860589812333
0.010984344625977534,0.43946188340807174,0.4932975871313673
0.0034739794328451233,0.11659192825112108,0.07506702412868632
0.002385552538248082,0.04035874439461883,0.903485254691689
0.016505126949502145,0.4439461883408072,0.040214477211796246
0.0032636780483461694,0.1390134529147982,0.21179624664879357
0.002735698704536349,0.4439461883408072,0.05630026809651475
0.009393817982163263,0.2825112107623318,0.19034852546916892
0.00755304278146285,0.11659192825112108,0.16890080428954424
0.01791764234518987,0.695067264573991,0.0482573726541555
0.01430441169923875,0.5605381165919282,0.09383378016085792
0.009708765525530872,0.37668161434977576,0.12064343163538874
0.006580599207585808,0.2600896860986547,0.3163538873994638
0.0005003784000356141,0.017937219730941704,0.8096514745308311
0.001339090949561501,0.04484304932735426,0.8632707774798928
0.0025386932585436794,0.017937219730941704,0.13136729222520108
0.01015233940257312,0.23766816143497757,0.3967828418230563
0.02027215124130051,0.46636771300448426,0.05630026809651475
0.010138865393461842,0.34080717488789236,0.13136729222520108
0.01714552820193207,0.46636771300448426,0.08579088471849866
0.06572390152695544,0.48430493273542596,0.20911528150134048
0.004115389752036683,0.11210762331838565,0.8257372654155496
0.007282375461870633,0.26905829596412556,0.19839142091152814
0.004499844188220629,0.16591928251121074,0.1769436997319035
0.003338289631839024,0.07623318385650224,0.579088471849866
0.021659914822893943,0.8565022421524664,0.005361930294906166
0.003968481502915906,0.14798206278026904,0.3002680965147453
0.0035637270177625428,0.1255605381165919,0.16890080428954424
0.004790336701835611,0.19730941704035873,0.040214477211796246
0.004769680511656205,0.17040358744394618,0.2546916890080429
0.011036281885767708,0.5560538116591928,0.0
0.010452507085726159,0.13004484304932734,0.4343163538873995
0.004613215806734038,0.1569506726457399,0.2064343163538874
0.00345890278828889,0.13004484304932734,0.5201072386058981
0.004901690186825743,0.13452914798206275,0.05630026809651475
0.022261199899093326,0.43049327354260086,0.021447721179624665
0.0015219101040229116,0.04484304932735426,0.1126005361930295
0.03003053910875662,0.4798206278026906,0.1126005361930295
0.0047849945836857645,0.21973094170403587,0.225201072386059
0.04647577497811216,0.1569506726457399,0.21179624664879357
0.003021323954948137,0.06726457399103139,0.26541554959785524
0.029390019142590037,0.8923766816143498,0.002680965147453083
0.017254151270978943,0.4349775784753363,0.03485254691689008
0.0010301384498953836,0.04484304932735426,0.9812332439678284
0.001021294276513971,0.04932735426008969,0.005361930294906166
0.029710843015922483,0.7892376681614349,0.05361930294906166
0.0007918206235439019,0.013452914798206279,0.05630026809651475
0.005949398269747289,0.25560538116591924,0.15281501340482573
0.0028282954191336867,0.11210762331838565,0.6487935656836461
0.0026677944471649676,0.09417040358744394,0.11528150134048258
0.024142159699654248,0.852017937219731,0.05630026809651475
0.0011745537105462315,0.03139013452914798,0.4155495978552279
0.0025557286797548563,0.09417040358744394,0.04289544235924933
0.004197064802861001,0.18834080717488788,0.35656836461126007
0.02094312128092122,0.06278026905829596,0.14745308310991959
0.014642508421255696,0.3991031390134529,0.193029490616622
0.01888165724376382,0.5560538116591928,0.11528150134048258
0.014027393194735047,0.2780269058295964,0.1742627345844504
0.005623469705738325,0.16591928251121074,0.18766756032171583
0.004908100728605559,0.15246636771300448,0.24932975871313673
0.007061033699861995,0.27354260089686094,0.0482573726541555
0.007982192939500513,0.36771300448430494,0.13941018766756033
0.007194349226134829,0.1255605381165919,0.02412868632707775
0.004405407410705011,0.20627802690582958,0.04289544235924933
0.004330320972265504,0.16591928251121074,0.5013404825737265
0.023377999376752882,0.7488789237668161,0.07506702412868632
0.004293757141373221,0.1569506726457399,0.14209115281501342
0.004042143376515455,0.1569506726457399,0.00804289544235925
0.0031292940984433667,0.13452914798206275,0.02680965147453083
0.019478727982311653,0.6860986547085202,0.07238605898123325
0.03321800293816498,0.968609865470852,0.058981233243967826
0.014750063066672604,0.3318385650224215,0.04289544235924933
0.0077084390627550495,0.24215246636771298,0.02412868632707775
0.001988039591031177,0.06278026905829596,0.8981233243967829
0.002732790217988099,0.11210762331838565,0.10187667560321716
0.00156233213135675,0.08520179372197309,0.16621983914209115
0.002574544807015982,0.09417040358744394,0.44235924932975873
0.00739645936280402,0.34080717488789236,0.040214477211796246
0.006191514935671993,0.05829596412556054,0.21715817694369974
0.0023962367745477752,0.09865470852017937,0.05361930294906166
0.02527308611197673,0.26905829596412556,0.058981233243967826
0.01287681965899479,0.6636771300448431,0.900804289544236
0.022103726127409518,0.6547085201793722,0.2546916890080429
0.002861297837926071,0.03587443946188341,0.045576407506702415
0.0004362729822374572,0.09865470852017937,0.6219839142091153
0.0077449435367789995,0.09417040358744394,0.35656836461126007
0.0023640059950437017,0.30493273542600896,0.06702412868632708
0.0010476487260532134,0.026905829596412557,0.7587131367292226
0.005832227811660657,0.14349775784753363,0.38069705093833783
0.000819302853581445,0.14798206278026904,0.1742627345844504
0.0036343616910771786,0.15246636771300448,0.3002680965147453
0.0060406297763729985,0.22421524663677128,0.7131367292225201
0.002277523037884521,0.06726457399103139,0.9436997319034852
0.007787977266319429,0.11210762331838565,0.2064343163538874
0.01220905489026399,0.5515695067264573,0.0
0.0020231195002151686,0.07623318385650224,0.16890080428954424
0.01563614239712713,0.6771300448430493,0.20911528150134048
0.0035595126801109974,0.16591928251121074,0.38069705093833783
0.0011439255664871123,0.04932735426008969,0.10187667560321716
0.010623514223389575,0.4708520179372197,0.0482573726541555
0.02662582914125451,0.6412556053811659,0.021447721179624665
0.007815281425751977,0.3139013452914798,0.0
0.002069833355592159,0.07623318385650224,0.21715817694369974
0.011476531778183384,0.4080717488789237,0.021447721179624665
0.009866773509029664,0.2914798206278027,0.1581769436997319
0.0007432667052486311,0.07174887892376682,0.03753351206434316
0.0020764813248453015,0.06726457399103139,0.0777479892761394
0.006465031384944131,0.2780269058295964,0.3485254691689008
0.004252029262936088,0.14798206278026904,0.24396782841823056
0.0021602932229295583,0.08968609865470852,0.07506702412868632
0.005823977206962561,0.22869955156950672,0.0777479892761394
0.0022122304827197317,0.08071748878923767,0.09383378016085792
0.005938001751027616,0.21973094170403587,0.19839142091152814
0.006894300256718455,0.30493273542600896,0.12332439678284182
0.0012334357239312053,0.03139013452914798,0.5281501340482574
0.0005650773865170873,0.017937219730941704,0.44235924932975873
0.005726928727240351,0.25112107623318386,0.20911528150134048
0.0009971953879713306,0.04035874439461883,0.9571045576407506
0.0025987624092952857,0.08520179372197309,0.10187667560321716
