CustomerID,Amount,Frequency,Recency,Cluster
12346.0,77183.6,1,325,0
12347.0,4310.0,182,1,0
12348.0,1797.24,31,74,0
12349.0,1757.55,73,18,0
12350.0,334.4,17,309,2
12352.0,2506.04,85,35,0
12353.0,89.0,4,203,2
12354.0,1079.4,58,231,2
12355.0,459.4,13,213,2
12356.0,2811.43,59,22,0
12357.0,6207.67,131,32,0
12358.0,1168.06,19,1,0
12360.0,2662.06,129,51,0
12361.0,189.9,10,286,2
12363.0,552.0,23,109,0
12364.0,1313.1,85,7,0
12365.0,641.38,22,290,2
12367.0,168.9,11,3,0
12370.0,3545.69,167,50,0
12371.0,1887.96,63,44,0
12372.0,1298.04,52,71,0
12373.0,364.6,14,310,2
12374.0,742.9300000000001,33,24,0
12375.0,457.5,17,10,0
12377.0,1628.12,77,314,2
12378.0,4008.62,219,129,0
12379.0,852.24,40,81,0
12380.0,2724.81,104,21,0
12381.0,1845.31,87,4,0
12383.0,1850.56,99,184,0
12384.0,585.27,27,28,0
12386.0,401.9,10,337,2
12388.0,2780.66,100,15,0
12390.0,549.84,32,79,0
12391.0,460.89,100,21,0
12393.0,1582.6000000000001,64,71,0
12394.0,1272.48,27,63,0
12395.0,3018.63,156,18,0
12397.0,2409.9,126,35,0
12398.0,1635.6599999999999,85,45,0
12399.0,1108.65,59,118,0
12401.0,84.3,5,302,2
12402.0,225.6,11,322,2
12403.0,427.7,5,49,0
12405.0,1710.39,54,148,0
12406.0,3415.3,105,21,0
12407.0,1708.1200000000001,77,49,0
12408.0,2888.55,105,32,0
12409.0,11072.67,109,78,0
12410.0,693.3299999999999,26,308,2
12412.0,1226.88,61,74,0
12413.0,758.1,38,66,0
12414.0,562.41,18,216,2
12417.0,3649.1,192,2,0
12418.0,668.58,34,112,0
12420.0,600.39,29,63,0
12421.0,807.04,45,15,0
12422.0,803.5600000000001,39,95,0
12423.0,1859.31,125,0,0
12424.0,1760.96,30,162,0
12425.0,777.2,36,77,0
12426.0,582.73,30,194,2
12427.0,825.8,31,21,0
12429.0,3750.4,97,8,0
12430.0,256.4,11,42,0
12432.0,5059.32,108,42,0
12434.0,806.14,50,84,0
12435.0,7829.89,36,79,0
12436.0,509.01,16,99,0
12437.0,4951.41,200,1,0
12438.0,2906.85,98,13,0
12441.0,173.55,11,366,2
12442.0,172.06,12,2,0
12444.0,5005.46,177,20,0
12445.0,133.4,4,21,0
12446.0,1002.3100000000001,58,57,0
12447.0,476.49,26,242,2
12448.0,449.45,22,43,0
12449.0,4067.29,191,21,0
12450.0,197.88,8,155,0
12452.0,430.57,22,16,0
12453.0,707.09,43,133,0
12454.0,3528.34,15,55,0
12455.0,2466.86,90,72,0
12456.0,3181.04,125,43,0
12457.0,2363.23,63,65,0
12458.0,947.4,38,70,0
12461.0,826.88,35,93,0
12462.0,1189.59,62,18,0
12463.0,1344.78,83,52,0
12464.0,1212.05,29,9,0
12465.0,742.1899999999999,47,16,0
12468.0,729.5400000000001,38,187,0
12473.0,3938.5499999999997,168,28,0
12475.0,723.38,36,53,0
12478.0,680.99,36,3,0
12479.0,527.2,31,10,0
12480.0,3281.63,154,27,0
12481.0,5596.32,217,22,0
12483.0,2484.98,75,16,0
12488.0,1298.66,55,9,0
12489.0,334.93,15,335,2
12491.0,460.40000000000003,26,38,0
12492.0,263.21000000000004,20,62,0
12493.0,433.74,22,165,0
12494.0,1246.1000000000001,77,15,0
12497.0,1043.1,14,81,0
12498.0,403.70000000000005,23,20,0
12500.0,4257.82,61,22,0
12501.0,2169.39,149,336,2
12502.0,3723.87,147,95,0
12504.0,482.04999999999995,9,17,0
12506.0,73.5,23,232,2
12507.0,1304.81,22,133,0
12508.0,398.27,69,25,0
12509.0,176.5,7,283,2
12510.0,982.5699999999999,33,142,0
12512.0,138.03,34,65,0
12513.0,612.29,35,112,0
12514.0,1017.68,51,266,2
12515.0,383.7,16,352,2
12516.0,1312.06,26,77,0
12518.0,2056.89,124,0,0
12519.0,340.84,18,63,0
12520.0,2634.26,152,78,0
12521.0,599.68,38,142,0
12522.0,192.72,12,38,0
12523.0,1789.77,106,18,0
12524.0,4485.72,144,8,0
12526.0,1316.66,71,0,0
12527.0,348.71000000000004,18,81,0
12528.0,1933.48,92,8,0
12530.0,1662.28,66,59,0
12531.0,125.22,17,14,0
12532.0,349.83000000000004,16,29,0
12534.0,1089.18,63,130,0
12535.0,716.35,34,91,0
12538.0,363.95,21,28,0
12541.0,981.18,52,29,0
12544.0,372.7,19,35,0
12545.0,1000.39,50,74,0
12546.0,1161.5,69,46,0
12547.0,207.79999999999998,8,197,2
12548.0,95.19999999999999,5,165,2
12550.0,964.83,57,78,0
12551.0,168.0,10,357,2
12552.0,437.82,20,38,0
12553.0,3692.28,191,7,0
12556.0,603.71,121,49,0
12557.0,11990.960000000001,33,15,0
12558.0,269.96,11,7,0
12559.0,561.71,21,310,2
12560.0,2134.01,105,4,0
12561.0,238.85,16,302,2
12562.0,3781.7400000000002,168,7,0
12564.0,456.9,21,260,2
12565.0,145.92,9,288,2
12566.0,351.65,19,85,0
12569.0,4124.69,188,1,0
12571.0,519.61,34,39,0
12572.0,1020.42,60,8,0
12573.0,160.54000000000002,28,226,2
12574.0,218.45,11,315,2
12576.0,1315.83,88,35,0
12577.0,657.8,147,34,0
12578.0,2794.51,114,20,0
12579.0,440.42,29,77,0
12580.0,415.7,24,246,2
12581.0,197.71,15,39,0
12582.0,511.36,22,238,2
12584.0,2338.15,96,3,0
12585.0,2040.1,87,233,0
12586.0,196.94000000000003,11,16,0
12587.0,144.0,4,7,0
12588.0,214.89999999999998,10,38,0
12589.0,646.68,35,28,0
12590.0,9864.26,68,210,0
12591.0,452.84999999999997,26,316,2
12592.0,437.6,18,91,0
12593.0,418.09999999999997,21,108,0
12594.0,3338.2200000000003,118,37,0
12596.0,618.27,27,50,0
12597.0,3811.22,206,18,0
12598.0,3023.08,132,9,0
12599.0,1032.58,62,28,0
12600.0,2599.04,64,28,0
12601.0,577.0600000000001,28,189,2
12602.0,153.12,12,58,0
12603.0,739.1999999999999,3,21,0
12604.0,254.18,16,78,0
12607.0,1579.51,101,59,0
12609.0,1126.85,60,77,0
12610.0,2099.54,106,22,0
12611.0,1193.32,65,51,0
12612.0,704.0400000000001,19,73,0
12613.0,3344.38,153,56,0
12614.0,315.6,20,277,2
12615.0,2291.19,105,1,0
12616.0,713.3,32,94,0
12617.0,355.53,42,28,0
12618.0,177.31,11,21,0
12619.0,3641.24,90,15,0
12620.0,1339.41,92,14,0
12622.0,180.1,11,231,2
12623.0,305.1,18,275,2
12624.0,641.13,38,105,0
12625.0,2683.82,86,211,0
12628.0,786.46,41,3,0
12630.0,1270.88,64,9,0
12631.0,640.5,31,56,0
12633.0,2163.98,101,58,0
12635.0,1689.18,101,89,0
12638.0,671.69,39,32,0
12639.0,486.1,22,238,2
12640.0,1174.58,53,23,0
12641.0,185.9,10,114,0
12642.0,1013.26,47,24,0
12643.0,3344.64,24,127,0
12644.0,477.91,31,129,0
12645.0,1775.18,73,33,0
12646.0,1346.97,45,4,0
12647.0,3722.82,122,21,0
12648.0,318.05,21,154,0
12649.0,623.51,31,106,0
12650.0,314.44,20,2,0
12651.0,114.0,9,334,2
12652.0,919.98,48,330,2
